RatingID,UserID,RestaurantID,Rating
1,742,2081,2
2,937,4591,3
3,690,3347,4
4,310,5272,5
5,396,3901,1
6,903,331,2
7,303,2106,3
8,909,5582,4
9,349,2546,5
10,446,2917,1
11,823,4502,2
12,775,2318,3
13,369,3779,4
14,98,718,5
15,929,3237,1
16,497,5489,2
17,745,3536,3
18,750,719,4
19,677,2543,5
20,879,1483,1
21,444,546,2
22,955,4916,3
23,7,2506,4
24,270,3950,5
25,661,2346,1
26,184,3307,2
27,230,5515,3
28,386,2894,4
29,353,4695,5
30,869,2155,1
31,397,1104,2
32,996,634,3
33,597,477,4
34,968,6158,5
35,199,2443,1
36,950,6118,2
37,704,3143,3
38,791,4337,4
39,388,2525,5
40,389,615,1
41,37,3551,2
42,69,3488,3
43,237,5919,4
44,510,5641,5
45,666,4864,1
46,991,1107,2
47,267,5014,3
48,552,6037,4
49,587,346,5
50,740,5306,1
51,917,1418,2
52,987,1766,3
53,198,3439,4
54,699,780,5
55,119,2054,1
56,621,3280,2
57,591,4675,3
58,378,4560,4
59,583,2939,5
60,895,5345,1
61,445,236,2
62,100,3873,3
63,489,5058,4
64,82,4355,5
65,628,222,1
66,828,5837,2
67,87,1964,3
68,653,5070,4
69,7,338,5
70,686,2181,1
71,570,3544,2
72,813,5901,3
73,257,6143,4
74,83,443,5
75,889,4241,1
76,79,1002,2
77,67,2707,3
78,630,2715,4
79,216,4984,5
80,433,6002,1
81,439,898,2
82,527,2278,3
83,911,4284,4
84,96,2425,5
85,107,4391,1
86,593,6121,2
87,45,1740,3
88,268,788,4
89,204,5289,5
90,973,6052,1
91,173,6173,2
92,310,1276,3
93,194,4338,4
94,631,3173,5
95,69,4910,1
96,101,4682,2
97,842,2585,3
98,991,4022,4
99,231,3166,5
100,366,5765,1
101,123,1640,2
102,580,243,3
103,181,5674,4
104,708,413,5
105,914,1188,1
106,392,4632,2
107,113,4383,3
108,689,5520,4
109,825,3363,5
110,441,2007,1
111,978,2973,2
112,839,5662,3
113,561,2469,4
114,846,1369,5
115,976,5086,1
116,831,918,2
117,442,103,3
118,341,5887,4
119,288,511,5
120,114,3239,1
121,391,3340,2
122,821,646,3
123,457,4816,4
124,728,5009,5
125,241,3063,1
126,270,2809,2
127,63,3508,3
128,285,2635,4
129,786,2736,5
130,152,1272,1
131,755,4389,2
132,653,3787,3
133,845,5557,4
134,571,1382,5
135,807,3105,1
136,656,5929,2
137,303,5374,3
138,628,5031,4
139,701,4081,5
140,136,5327,1
141,889,5788,2
142,865,6100,3
143,128,3320,4
144,980,2304,5
145,73,3671,1
146,149,6142,2
147,97,568,3
148,458,2129,4
149,734,48,5
150,1001,5442,1
151,675,3766,2
152,500,2450,3
153,994,273,4
154,448,1604,5
155,368,2351,1
156,207,1023,2
157,716,3475,3
158,699,5678,4
159,742,863,5
160,692,5358,1
161,24,2590,2
162,214,2257,3
163,448,4140,4
164,405,5088,5
165,240,1415,1
166,763,1454,2
167,620,2527,3
168,334,5149,4
169,53,751,5
170,654,807,1
171,49,3667,2
172,460,5558,3
173,773,622,4
174,516,3355,5
175,474,5667,1
176,521,535,2
177,228,5428,3
178,23,1719,4
179,284,5392,5
180,158,1052,1
181,455,6076,2
182,953,507,3
183,568,1554,4
184,754,1809,5
185,338,2121,1
186,604,3680,2
187,177,4764,3
188,29,1603,4
189,458,3653,5
190,682,31,1
191,11,35,2
192,199,4620,3
193,495,3758,4
194,559,343,5
195,629,2751,1
196,338,3443,2
197,875,1502,3
198,361,909,4
199,720,1626,5
200,486,1791,1
201,751,3869,2
202,555,5610,3
203,910,4483,4
204,352,2584,5
205,484,2335,1
206,295,1054,2
207,714,620,3
208,448,935,4
209,793,142,5
210,407,1452,1
211,897,2268,2
212,479,3538,3
213,40,611,4
214,288,253,5
215,154,5957,1
216,520,786,2
217,349,1509,3
218,280,941,4
219,591,4507,5
220,869,4195,1
221,989,4992,2
222,631,5028,3
223,864,2965,4
224,982,2855,5
225,185,4427,1
226,424,717,2
227,914,2067,3
228,974,4798,4
229,418,4367,5
230,156,1176,1
231,485,6199,2
232,649,5632,3
233,254,1898,4
234,725,5013,5
235,744,4710,1
236,338,5513,2
237,363,4942,3
238,797,6066,4
239,783,6199,5
240,187,1866,1
241,670,2067,2
242,81,3598,3
243,978,4436,4
244,58,2045,5
