UserID,RestaurantID
1,2077
2,1494
3,1819
4,1010
5,703
6,4077
7,4831
8,266
9,2264
10,989
11,4296
12,5395
13,1865
14,2096
15,3628
16,73
17,737
18,3309
19,1637
20,1718
21,2674
22,2702
23,1010
24,4774
25,4117
26,3476
27,818
28,1919
29,686
30,3324
31,4347
32,5065
33,5987
34,2875
35,3127
36,1579
37,6149
38,2522
39,2531
40,6008
41,4517
42,1639
43,2897
44,1578
45,4078
46,2595
47,5560
48,456
49,928
50,5940
51,1318
52,6166
53,184
54,4216
55,3286
56,2390
57,2260
58,1684
59,3790
60,4254
61,836
62,2941
63,3427
64,1864
65,2311
66,2594
67,333
68,5223
69,5737
70,4904
71,4241
72,2742
73,3456
74,487
75,3775
76,4881
77,1474
78,301
79,166
80,1959
81,3371
82,5640
83,5571
84,966
85,1309
86,2469
87,4452
88,4173
89,2381
90,1704
91,4751
92,3084
93,3193
94,105
95,4103
96,4237
97,1246
98,6166
99,3524
100,3548
101,4164
102,3165
103,2767
104,3279
105,276
106,2654
107,1819
108,5954
109,4183
110,1633
111,3021
112,943
113,3361
114,3453
115,586
116,3506
117,912
118,3766
119,1805
120,858
121,2387
122,1731
123,2746
124,4124
125,901
126,812
127,5102
128,2982
129,5339
130,192
131,4549
132,1700
133,4184
134,3484
135,3866
136,1851
137,2127
138,1280
139,5511
140,209
141,1349
142,6148
143,2666
144,3789
145,4123
146,593
147,2719
148,3913
149,2333
150,4467
151,4382
152,4262
153,69
154,863
155,2825
156,1128
157,3181
158,4529
159,891
160,2794
161,3854
162,1550
163,2188
164,1657
165,5176
166,3882
167,2584
168,1308
169,1948
170,4490
171,3334
172,3682
173,3994
174,2828
175,569
176,2693
177,190
178,5485
179,2436
180,2301
181,929
182,3431
183,830
184,163
185,4506
186,5725
187,4747
188,3085
189,466
190,5728
191,1566
192,2191
193,4214
194,5492
195,301
196,297
197,4096
198,3849
199,1060
200,1001
201,1221
202,3219
203,1786
204,2078
205,3753
206,5849
207,3585
208,3732
209,4307
210,5257
211,1636
212,3036
213,1996
214,5139
215,3394
216,3967
217,2791
218,3564
219,6012
220,2387
221,113
222,5558
223,3916
224,2614
225,5487
226,917
227,2086
228,4953
229,4990
230,1360
231,3080
232,1205
233,736
234,1046
235,6024
236,2070
237,4376
238,2944
239,662
240,2717
241,5099
242,4101
243,4232
244,603
245,3193
246,298
247,2536
248,2932
249,1672
250,973
251,1405
252,1318
253,5240
254,5414
255,2169
256,2781
257,3714
258,2477
259,5650
260,3095
261,2880
262,2266
263,3902
264,4660
265,5178
266,3454
267,5477
268,746
269,1765
270,2580
271,5697
272,276
273,6049
274,446
275,1022
276,6058
277,5768
278,3130
279,5348
280,3507
281,5026
282,3091
283,1265
284,3487
285,3570
286,3330
287,5396
288,2830
289,5257
290,1677
291,3643
292,1294
293,4327
294,541
295,765
296,2685
297,3509
298,664
299,4559
300,3654
301,2708
302,339
303,1394
304,19
305,2267
306,1613
307,6164
308,6036
309,3683
310,3196
